Date,NominalPrice
1/1/2015,160882.765
2/1/2015,162138.2598
3/1/2015,163365.677
4/1/2015,164514.2942
5/1/2015,165613.2447
6/1/2015,166707.9019
7/1/2015,167846.0525
8/1/2015,169033.4394
9/1/2015,170244.1712
10/1/2015,171464.1082
11/1/2015,172538.4331
12/1/2015,173652.6439
1/1/2016,174845.7891
2/1/2016,176090.4087
3/1/2016,177008.2051
4/1/2016,177881.4848
5/1/2016,178724.2251
6/1/2016,179728.7715
7/1/2016,180566.1654
8/1/2016,181380.3945
9/1/2016,182311.37
10/1/2016,183337.9991
11/1/2016,184493.0553
12/1/2016,185602.9557
1/1/2017,186694.9702
2/1/2017,187669.9534
3/1/2017,188709.6506
4/1/2017,189860.5581
5/1/2017,190896.8794
6/1/2017,191830.9104
7/1/2017,192553.8763
8/1/2017,193320.3012
9/1/2017,194098.5224
10/1/2017,195026.6278
11/1/2017,196048.6908
12/1/2017,197183.4591
1/1/2018,198308.7475
2/1/2018,199332.6437
3/1/2018,200531.9653
4/1/2018,201654.0971
5/1/2018,202824.3698
6/1/2018,203713.1228
7/1/2018,204729.0203
8/1/2018,205642.9331
9/1/2018,206544.7322
10/1/2018,207232.5086
11/1/2018,208012.424
12/1/2018,208879.6267
1/1/2019,209738.8233
2/1/2019,210496.0315
3/1/2019,211151.131
4/1/2019,211704.3926
5/1/2019,212201.5398
6/1/2019,212683.8275
7/1/2019,213195.5363
8/1/2019,213808.8785
9/1/2019,214479.0912
10/1/2019,215376.2983
11/1/2019,216438.6261
12/1/2019,217595.3568
1/1/2020,218769.7205
2/1/2020,219905.8479
3/1/2020,221013.8711
4/1/2020,221812.6473
5/1/2020,222097.8682
6/1/2020,222268.5842
7/1/2020,222935.9297
8/1/2020,224385.5982
9/1/2020,226573.9858
10/1/2020,229043.8238
11/1/2020,231860.591
12/1/2020,234589.6474
1/1/2021,237454.6204
2/1/2021,240506.3109
3/1/2021,243961.4726
4/1/2021,247795.9001
5/1/2021,252184.0141
6/1/2021,256879.0312
7/1/2021,261186.2886
8/1/2021,264469.639
9/1/2021,266869.8467
10/1/2021,269359.6387
11/1/2021,272583.2366
12/1/2021,276288.667
1/1/2022,281163.6837
2/1/2022,286616.0434
3/1/2022,292781.3685
4/1/2022,298763.1287
5/1/2022,304261.3306
6/1/2022,309060.3159
7/1/2022,311978.3266
8/1/2022,312894.3656
9/1/2022,312219.0521
10/1/2022,311253.4778
11/1/2022,310234.9529
12/1/2022,308926.2139
1/1/2023,307199.4172
2/1/2023,305557.3257
3/1/2023,304461.3276
4/1/2023,304083.1198
5/1/2023,304409.9001
6/1/2023,305257.7734
7/1/2023,306021.3607
8/1/2023,306613.9134
9/1/2023,306652.6826
10/1/2023,306417.3746
11/1/2023,305917.9896
12/1/2023,305301.1459
1/1/2024,305098.437
2/1/2024,305363.6162
3/1/2024,306249.9197
4/1/2024,307119.625
5/1/2024,307456.0265
6/1/2024,307220.894
7/1/2024,306651.8195
8/1/2024,306230.4512
9/1/2024,305967.5489
10/1/2024,305705.8572
11/1/2024,305331.6249
12/1/2024,305055.862
1/1/2025,304878.5373
2/1/2025,304702.9114
3/1/2025,303977.5585
4/1/2025,302920.8452
5/1/2025,301672.2248
6/1/2025,300489.4137
7/1/2025,299434.7383
8/1/2025,298607.064
9/1/2025,298097.4724
10/1/2025,297730.5932
11/1/2025,297577.2091
12/1/2025,297590.2411
